VARIABLES= "X","Y","Z","CP"
1.0000 0.0000 0.0000 0.5381
0.9997 0.0000 -0.0000 0.5035
0.9990 0.0000 -0.0000 0.4472
0.9977 0.0000 -0.0000 0.4107
0.9959 0.0000 -0.0000 0.3849
0.9936 0.0000 -0.0001 0.3657
0.9908 0.0000 -0.0001 0.3509
0.9875 0.0000 -0.0001 0.3392
0.9837 0.0000 -0.0002 0.3300
0.9794 0.0000 -0.0002 0.3226
0.9746 0.0000 -0.0003 0.3167
0.9693 0.0000 -0.0003 0.3120
0.9636 0.0000 -0.0004 0.3084
0.9573 0.0000 -0.0005 0.3057
0.9506 0.0000 -0.0006 0.3037
0.9435 0.0000 -0.0007 0.3024
0.9359 0.0000 -0.0008 0.3016
0.9278 0.0000 -0.0009 0.3014
0.9194 0.0000 -0.0010 0.3015
0.9105 0.0000 -0.0012 0.3021
0.9012 0.0000 -0.0013 0.3030
0.8914 0.0000 -0.0015 0.3042
0.8813 0.0000 -0.0016 0.3057
0.8708 0.0000 -0.0018 0.3074
0.8600 0.0000 -0.0020 0.3094
0.8488 0.0000 -0.0023 0.3115
0.8372 0.0000 -0.0025 0.3138
0.8253 0.0000 -0.0028 0.3163
0.8131 0.0000 -0.0030 0.3189
0.8005 0.0000 -0.0033 0.3216
0.7877 0.0000 -0.0036 0.3244
0.7746 0.0000 -0.0040 0.3273
0.7612 0.0000 -0.0043 0.3303
0.7476 0.0000 -0.0047 0.3334
0.7337 0.0000 -0.0051 0.3365
0.7196 0.0000 -0.0056 0.3397
0.7053 0.0000 -0.0060 0.3430
0.6908 0.0000 -0.0065 0.3463
0.6761 0.0000 -0.0070 0.3497
0.6612 0.0000 -0.0075 0.3532
0.6462 0.0000 -0.0080 0.3567
0.6310 0.0000 -0.0086 0.3603
0.6158 0.0000 -0.0092 0.3640
0.6004 0.0000 -0.0098 0.3678
0.5849 0.0000 -0.0104 0.3717
0.5693 0.0000 -0.0110 0.3758
0.5537 0.0000 -0.0117 0.3800
0.5381 0.0000 -0.0123 0.3843
0.5224 0.0000 -0.0130 0.3889
0.5067 0.0000 -0.0136 0.3937
0.4910 0.0000 -0.0143 0.3989
0.4753 0.0000 -0.0150 0.4043
0.4596 0.0000 -0.0156 0.4103
0.4440 0.0000 -0.0163 0.4168
0.4285 0.0000 -0.0169 0.4242
0.4130 0.0000 -0.0175 0.4334
0.3977 0.0000 -0.0181 0.4426
0.3826 0.0000 -0.0187 0.4503
0.3677 0.0000 -0.0193 0.4573
0.3530 0.0000 -0.0200 0.4641
0.3384 0.0000 -0.0207 0.4708
0.3239 0.0000 -0.0214 0.4776
0.3096 0.0000 -0.0221 0.4845
0.2955 0.0000 -0.0228 0.4916
0.2816 0.0000 -0.0235 0.4991
0.2679 0.0000 -0.0242 0.5070
0.2544 0.0000 -0.0249 0.5154
0.2412 0.0000 -0.0255 0.5244
0.2282 0.0000 -0.0261 0.5340
0.2154 0.0000 -0.0267 0.5444
0.2030 0.0000 -0.0272 0.5557
0.1908 0.0000 -0.0277 0.5680
0.1788 0.0000 -0.0281 0.5813
0.1672 0.0000 -0.0284 0.5958
0.1559 0.0000 -0.0287 0.6116
0.1449 0.0000 -0.0289 0.6288
0.1342 0.0000 -0.0290 0.6475
0.1239 0.0000 -0.0290 0.6679
0.1139 0.0000 -0.0289 0.6900
0.1043 0.0000 -0.0288 0.7139
0.0950 0.0000 -0.0285 0.7397
0.0862 0.0000 -0.0281 0.7674
0.0777 0.0000 -0.0276 0.7970
0.0696 0.0000 -0.0270 0.8283
0.0619 0.0000 -0.0263 0.8609
0.0546 0.0000 -0.0255 0.8941
0.0478 0.0000 -0.0245 0.9268
0.0413 0.0000 -0.0234 0.9570
0.0353 0.0000 -0.0222 0.9818
0.0298 0.0000 -0.0208 0.9961
0.0247 0.0000 -0.0194 0.9922
0.0200 0.0000 -0.0178 0.9580
0.0159 0.0000 -0.0160 0.8746
0.0121 0.0000 -0.0141 0.7141
0.0089 0.0000 -0.0121 0.4380
0.0062 0.0000 -0.0100 -0.0010
0.0039 0.0000 -0.0077 -0.6450
0.0021 0.0000 -0.0053 -1.5026
0.0008 0.0000 -0.0027 -2.5161
0.0000 0.0000 0.0000 -3.5625
-0.0003 0.0000 0.0028 -4.4877
-0.0001 0.0000 0.0057 -5.1440
0.0006 0.0000 0.0086 -5.4654
0.0019 0.0000 0.0116 -5.4989
0.0036 0.0000 0.0146 -5.3417
0.0059 0.0000 0.0177 -5.0849
0.0087 0.0000 0.0209 -4.7913
0.0120 0.0000 0.0240 -4.4975
0.0158 0.0000 0.0273 -4.2212
0.0201 0.0000 0.0305 -3.9699
0.0250 0.0000 0.0338 -3.7448
0.0303 0.0000 0.0371 -3.5449
0.0361 0.0000 0.0404 -3.3678
0.0425 0.0000 0.0437 -3.2106
0.0493 0.0000 0.0470 -3.0708
0.0566 0.0000 0.0502 -2.9459
0.0643 0.0000 0.0535 -2.8339
0.0726 0.0000 0.0567 -2.7327
0.0813 0.0000 0.0599 -2.6408
0.0904 0.0000 0.0630 -2.5568
0.1000 0.0000 0.0660 -2.4794
0.1100 0.0000 0.0689 -2.4078
0.1205 0.0000 0.0718 -2.3410
0.1314 0.0000 0.0746 -2.2783
0.1426 0.0000 0.0772 -2.2190
0.1543 0.0000 0.0798 -2.1625
0.1663 0.0000 0.0822 -2.1084
0.1787 0.0000 0.0845 -2.0563
0.1914 0.0000 0.0866 -2.0058
0.2045 0.0000 0.0886 -1.9565
0.2179 0.0000 0.0905 -1.9083
0.2316 0.0000 0.0921 -1.8608
